Current Time,Latitude,Longitude,Time,GPS_Altitude,GPS_Speed,Number of Satellites
2019-05-18 16:10,46.004486,-72.732582,966181,41.700001,0.166680,9
2019-05-18 16:10,46.004486,-72.732582,966236,41.700001,0.166680,9
2019-05-18 16:10,6,-72.732582,966015,41.700001,0.166680,9
2019-05-18 16:10,46.004486,-72.732582,966070,41.700001,0.166680,9
2019-05-18 16:10,46.004486,-72.732582,966125,41.700001,0.166680,9
2019-05-18 16:10,46.004486,-72.732582,966181,41.700001,0.166680,9
2019-05-18 16:10,46.004486,-72.732582,966236,41.700001,0.166680,9
2019-05-18 16:10,46.004486,-72.732582,967395,41.700001,0.166680,8
2019-05-18 16:10,46.004486,-72.732582,967450,41.700001,0.166680,8
2019-05-18 16:10,46.004486,-72.732582,967506,41.700001,0.166680,8
2019-05-18 16:10,46.004486,-72.732582,967561,41.700001,0.166680,8
2019-05-18 16:10,46.004486,-72.732582,967450,41.700001,0.166680,8
2019-05-18 16:10,46.004486,-72.732582,967506,41.700001,0.166680,8
2019-05-18 16:10,46.004486,-72.732582,967561,41.700001,0.166680,8
2019-05-18 16:10,46.004486,-72.732582,967450,41.700001,0.166680,8
2019-05-18 16:10,46.004486,-72.732582,967506,41.700001,0.166680,8
2019-05-18 16:10,46.004486,-72.732582,967561,41.700001,0.166680,8
2019-05-18 16:10,46.004490,-72.732582,967726,41.700001,0.166680,8
2019-05-18 16:10,46.004490,-72.732582,967782,41.700001,0.166680,8
2019-05-18 16:10,46.004490,-72.732582,967837,41.700001,0.166680,8
2019-05-18 16:10,46.004490,-72.732582,967726,41.700001,0.166680,8
2019-05-18 16:10,46.004490,-72.732582,967782,41.700001,0.166680,8
2019-05-18 16:10,46.004490,-72.732582,967837,41.700001,0.166680,8
2019-05-18 16:10,46.004490,-72.732582,969107,41.700001,0.166680,9
2019-05-18 16:10,46.004490,-72.732582,969162,41.700001,0.166680,9
2019-05-18 16:10,46.004490,-72.732582,969217,41.700001,0.166680,9
2019-05-18 16:10,46.004490,-72.732582,970432,41.700001,0.166680,9
2019-05-18 16:10,46.004490,-72.732582,970487,41.700001,0.166680,9
2019-05-18 16:10,46.004490,-72.732582,970542,41.700001,0.166680,9
2019-05-18 16:10,46.004490,-72.732582,970432,41.700001,0.166680,9
2019-05-18 16:10,46.004490,-72.732582,970487,41.700001,0.166680,9
2019-05-18 16:10,46.004490,-72.732582,970542,41.700001,0.166680,9
2019-05-18 16:10,46.004490,-72.732582,970597,41.700001,0.166680,6
2019-05-18 16:10,46.004490,-72.732582,971812,41.700001,0.166680,6
2019-05-18 16:10,46.004490,-72.732582,971867,41.700001,0.166680,6
2019-05-18 16:10,46.004490,-72.732582,971922,41.700001,0.166680,6
2019-05-18 16:10,46.004490,-72.732582,971977,41.700001,0.166680,6
2019-05-18 16:10,46.004490,-72.732582,971812,41.700001,0.166680,6
2019-05-18 16:10,46.004490,-72.732582,971867,41.700001,0.166680,6
2019-05-18 16:10,46.004490,-72.732582,971922,41.700001,0.166680,6
2019-05-18 16:10,46.004490,-72.732582,971977,41.700001,0.166680,6
2019-05-18 16:10,46.004490,-72.732582,972033,41.70001,0.185200,6
2019-05-18 16:10,46.004490,-72.732582,973192,41.700001,0.185200,6
2019-05-18 16:10,46.004490,-72.732582,973247,41.700001,0.185200,6
2019-05-18 16:10,46.004490,-72.732582,973302,41.700001,0.185200,6
2019-05-18 16:10,46.004490,-72.732582,973358,41.700001,0.185200,6
2019-05-18 16:10,46.004490,-72.732582,973192,41.700001,0.185200,6
